customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,1,Yes,No,6,No,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),70.32,427.88,No
CUST00001,Female,0,No,No,34,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,No,Two year,No,Mailed check,66.48,2258.98,No
CUST00002,Male,0,No,No,54,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),119.75,6474.85,No
CUST00003,Male,0,No,No,13,No,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No,Two year,No,Mailed check,69.35,900.55,No
CUST00004,Male,0,No,Yes,9,No,No phone service,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,37.84,345.45,Yes
CUST00005,Female,0,Yes,Yes,15,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),71.31,1068.99,No
CUST00006,Male,1,No,No,53,No,No,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,No,Electronic check,101.4,5368.76,No
CUST00007,Male,0,Yes,Yes,69,No,Yes,No,Yes,No,Yes,No internet service,No,No,Two year,No,Bank transfer (automatic),97.69,6734.6,No
CUST00008,Male,1,Yes,No,43,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No internet service,Two year,Yes,Electronic check,98.86,4249.49,No
CUST00009,Female,1,Yes,Yes,44,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),90.8,4000.31,No
CUST00010,Male,0,Yes,No,55,No,Yes,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,45.42,2500.2,No
CUST00011,Male,0,Yes,No,56,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),106.21,5951.53,No
CUST00012,Male,1,No,Yes,20,No,No,No,No,No internet service,No internet service,No,Yes,No,Two year,No,Electronic check,109.34,2182.45,No
CUST00013,Male,0,No,Yes,67,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),39.42,2640.77,Yes
CUST00014,Female,0,No,No,49,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,No,Mailed check,33.05,1610.34,No
CUST00015,Male,1,No,No,32,Yes,Yes,No,No,No internet service,No internet service,Yes,No,No,Two year,Yes,Mailed check,117.56,3768.27,No
CUST00016,Female,1,Yes,Yes,6,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.83,650.78,No
CUST00017,Female,0,No,Yes,69,No,No phone service,No,No,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),109.32,7541.22,Yes
CUST00018,Female,1,Yes,No,14,No,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,108.64,1511.18,No
CUST00019,Male,0,No,Yes,31,Yes,No,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,74.17,2292.67,No
CUST00020,Female,0,Yes,No,19,Yes,No,No,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.64,1611.21,No
CUST00021,Male,0,Yes,No,14,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.54,1045.8,No
CUST00022,Female,1,No,No,47,No,Yes,No,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Electronic check,25.12,1186.4,No
CUST00023,Female,1,Yes,No,70,Yes,No,No,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),94.55,6613.58,No
CUST00024,Female,1,Yes,Yes,20,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,One year,No,Credit card (automatic),70.53,1415.87,No
CUST00025,Female,1,No,Yes,41,Yes,No phone service,No,No,No,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),84.77,3479.33,Yes
CUST00026,Female,1,Yes,Yes,25,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),70.26,1752.96,No
CUST00027,Female,0,No,Yes,13,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,69.18,900.25,Yes
CUST00028,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,No,Mailed check,37.18,2075.03,No
CUST00029,Female,0,No,Yes,36,No,No,DSL,Yes,No internet service,No internet service,No,No,No,Two year,No,Bank transfer (automatic),47.87,1722.37,No
CUST00030,Male,0,Yes,Yes,57,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),35.89,2053.35,No
CUST00031,Male,1,Yes,No,20,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.57,789.82,Yes
CUST00032,Female,0,Yes,Yes,68,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),117.3,7983.19,No
CUST00033,Female,1,No,Yes,2,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,One year,No,Credit card (automatic),35.31,72.43,Yes
CUST00034,Female,0,Yes,No,36,No,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),46.93,1683.32,Yes
CUST00035,Male,1,No,Yes,48,No,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),79.06,3796.5,Yes
CUST00036,Female,1,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,81.02,1458.48,No
CUST00037,Male,0,Yes,No,11,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.4,387.37,No
CUST00038,Male,0,No,Yes,60,No,No phone service,DSL,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Mailed check,99.37,5954.59,No
CUST00039,Male,0,Yes,Yes,40,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),98.52,3939.13,No
